EXEMPLAR - COD.;titulo;autor;volume;EDIÇÃO;ANO;editora;COLEÇÃO;SÉRIE;ISBN;Nº EXEMPLAR;ASSUNTO;CLASSIFICAÇÃO;IDIOMA;OBSERVAÇÃO DO EXEMPLAR;;;;;;;;;;;;;;;;;;
E-100044;Exercita-te na piedade;Jerry Bridges;;;2016;Monergismo;;;9,78857E+12;1;;VCE-B852;;;;;;;;;;;;;;;;;;;;
E-100045;Exercita-te na piedade;Jerry Bridges;;;2016;Monergismo;;;9,78857E+12;2;;VCE-B852;;;;;;;;;;;;;;;;;;;;
E-100046;Exercita-te na piedade;Jerry Bridges;;;2016;Monergismo;;;9,78857E+12;3;;VCE-B852;;;;;;;;;;;;;;;;;;;;
E-100047;Mulheres sábias: a sabedoria dos provérbios para mulheres;Lydia Brownback;;;2013;Fiel;;;9,78858E+12;1;"mulher; estudo bíblico; provérbios; vida cristã";VCF-B881;;;;;;;;;;;;;;;;;;;;
E-100048;Pastores da família;Voddie Baucham Jr.;;;2015;Monergismo;;;9,78856E+12;1;"Homem; relações familiares; família; vida cristã";VCF-B337;;;;;;;;;;;;;;;;;;;;
E-100049;Pastores da família;Voddie Baucham Jr.;;;2015;Monergismo;;;9,78856E+12;2;"Homem; relações familiares; família; vida cristã";VCF-B337;;;;;;;;;;;;;;;;;;;;
E-100050;O culto segundo Deus: a mensagem de Malaquias para a igreja de hoje;Augustus Nicodemus;;;2012;Vida Nova;;;9,78853E+12;1;"eclesiologia; adoração; estudo bíblico";I-N633;;;;;;;;;;;;;;;;;;;;
E-100051;O culto segundo Deus: a mensagem de Malaquias para a igreja de hoje;Augustus Nicodemus;;;2012;Vida Nova;;;9,78853E+12;2;"eclesiologia; adoração; estudo bíblico";I-N633;;;;;;;;;;;;;;;;;;;;
E-100052;Amnésia Cultural: três ensaios sobre a teologia dos dois reinos;Brian G. Mattson;;;2018;Monergismo;;;9,78857E+12;1;"cultura; teologia; cosmovisão";FC-M444;;;;;;;;;;;;;;;;;;;;
E-100053;O tipo de pregação que Deus abençoa;Steven J. Lawson;;;2013;Fiel;;;9,78858E+12;1;homilética, pregação;Ho-L425;;;;;;;;;;;;;;;;;;;;
E-100054;O antigo Evangelho: um desafio para redescobrir o Evangelho Bíblico;J.I. Packer;;2.ed;2013;Fiel;;;9,78858E+12;1;"evangelho; salvação; calvinismo; arminianismo; John Owen";TBH-P119;;;;;;;;;;;;;;;;;;;;
E-100055;O antigo Evangelho: um desafio para redescobrir o Evangelho Bíblico;J.I. Packer;;2.ed;2013;Fiel;;;9,78858E+12;2;"evangelho; salvação; calvinismo; arminianismo; John Owen";TBH-P119;;;;;;;;;;;;;;;;;;;;
E-100056;Jonas: o missionário bem sucedido que fracassou;Stuart Olyott;;;2012;Fiel;;;9,78858E+12;1;"missões; evangellismo; vida cristã";MEI-O53;;;;;;;;;;;;;;;;;;;;
E-100057;Jonas: o missionário bem sucedido que fracassou;Stuart Olyott;;;2012;Fiel;;;9,78858E+12;2;"missões; evangellismo; vida cristã";MEI-O53;;;;;;;;;;;;;;;;;;;;
E-100058;Jonas: o missionário bem sucedido que fracassou;Stuart Olyott;;;2012;Fiel;;;9,78858E+12;3;"missões; evangellismo; vida cristã";MEI-O53;;Exemplar perdido. Reposição no registro E-100433;;;;;;;;;;;;;;;;;;
E-100059;Enriquecendo-se com a Bíblia;A.W. Pink;;2.ed;2011;Fiel;;;9,78858E+12;1;"Bíblia; estudo bíblico; prática devocional; vida cristã";VCE-P655;;;;;;;;;;;;;;;;;;;;
E-100060;Enriquecendo-se com a Bíblia;A.W. Pink;;2.ed;2011;Fiel;;;9,78858E+12;2;"Bíblia; estudo bíblico; prática devocional; vida cristã";VCE-P655;;;;;;;;;;;;;;;;;;;;
